2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l | Please make sure you specified the correct `repo_id` and `repo_type`.\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l | If you are trying to access a private or gated repo, make sure you are authenticated. For more details, see https://huggingface.co/docs/huggingface_hub/authentication\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l | Invalid username or password.\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l | \n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l | The above exception was the direct cause of the following exception:\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l | \n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l | Traceback (most recent call last):\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |   File "/app/handler.py", line 339, in <module>\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |     load_models()\n
2026-06-23 22:17:52.081 | info | 12b006z5rbmd8l |   File "/app/handler.py", line 171, in load_models\n
2026-06-23 22:17:52.081 | info | 12b006z5rbmd8l |     image_encoder_bigG = CLIPVisionModelWithProjection.from_pretrained(\n
2026-06-23 22:17:52.081 | info | 12b006z5rbmd8l |                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-06-23 22:17:52.081 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/transformers/modeling_utils.py", line 3225, in from_pretrained\n
2026-06-23 22:17:52.081 | info | 12b006z5rbmd8l |     resolved_config_file = cached_file(\n
2026-06-23 22:17:52.081 | info | 12b006z5rbmd8l |                            ^^^^^^^^^^^^\n
2026-06-23 22:17:52.081 | error | 12b006z5rbmd8l | [FitDiT] FATAL: Failed to load models. Container will accept jobs but return errors.\n
2026-06-23 22:17:52.081 | info | 12b006z5rbmd8l | --- Starting Serverless Worker |  Version 1.9.1 ---\n
2026-06-23 22:17:52.081 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/transformers/utils/hub.py", line 425, in cached_file\n
2026-06-23 22:17:52.081 | info | 12b006z5rbmd8l |     raise EnvironmentError(\n
2026-06-23 22:17:52.081 | info | 12b006z5rbmd8l | OSError: laion/CLIP-ViT-bigG-14-laion2B-39B-b16k is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'\n
2026-06-23 22:17:52.081 | info | 12b006z5rbmd8l | If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`\n
2026-06-23 22:17:52.081 | info | 12b006z5rbmd8l | Running 7 fitness check(s)...
2026-06-23 22:17:52.245 | info | 12b006z5rbmd8l | GPU binary test passed: 1 GPU(s) healthy (CUDA 12.4)
2026-06-23 22:17:52.359 | info | 12b006z5rbmd8l | Memory check passed: 192.94GB available (of 251.55GB total)
2026-06-23 22:17:52.504 | info | 12b006z5rbmd8l | Disk space check passed: 18.39GB free (92.0% available)
2026-06-23 22:17:52.504 | info | 12b006z5rbmd8l | Network connectivity passed: Connected to 8.8.8.8 (19ms)
2026-06-23 22:17:52.504 | info | 12b006z5rbmd8l | CUDA version check passed: 12.4 (minimum: 11.8)
2026-06-23 22:17:52.664 | info | 12b006z5rbmd8l | CUDA initialization passed: 1 device(s) initialized successfully
2026-06-23 22:17:52.876 | info | 12b006z5rbmd8l | GPU compute benchmark passed: Matrix multiply completed in 88ms
2026-06-23 22:17:53.613 | info | 12b006z5rbmd8l | All fitness checks passed. (797.58ms)
2026-06-23 22:17:53.613 | info | 12b006z5rbmd8l | Jobs in queue: 1
2026-06-23 22:17:53.908 | info | 12b006z5rbmd8l | Jobs in progress: 1
2026-06-23 22:17:53.908 | info | 12b006z5rbmd8l | Started.
2026-06-23 22:17:53.908 | info | 12b006z5rbmd8l | Finished.
2026-06-23 22:17:54.937 | info | 12b006z5rbmd8l | Jobs in queue: 1
2026-06-23 22:17:55.295 | info | 12b006z5rbmd8l | Started.
2026-06-23 22:17:55.295 | info | 12b006z5rbmd8l | Finished.
